	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
603	自拟平脂降糖增敏汤治疗肥胖2型糖尿病胰岛素抵抗的临床研究	赵晨男	山东中医药大学	硕士	2017	6	163	原版阅读      CNKI AI阅读
604	肾虚痰湿证PCOS患者肥胖中西医内涵辨析	王维宁	山东中医药大学	硕士	2017		212	原版阅读      CNKI AI阅读
605	女性肥胖者腹腔内脂肪与中医证素相关性研究	王姬	福建中医药大学	硕士	2017	6	158	原版阅读      CNKI AI阅读
606	围绝经期肥胖痰证兼杂特征及与体脂分布关系的研究	肖俊杰	福建中医药大学	硕士	2017	7	177	原版阅读      CNKI AI阅读
607	三黄苓术汤治疗肥胖T2DM湿热困脾证的疗效观察及对血清RBP4的影响	朱益丽	黑龙江中医药大学	硕士	2017	5	190	原版阅读      CNKI AI阅读
608	电针与热量控制对胰岛素抵抗肥胖大鼠HPA轴功能的影响及机制研究	周焕娇	湖北中医药大学	博士	2017	15	563	原版阅读      CNKI AI阅读
609	温肾健脾化痰方调控单纯性肥胖大鼠脂代谢及瘦素抵抗的机制研究	周慧敏	湖北中医药大学	博士	2017	28	993	原版阅读      CNKI AI阅读
610	三仁汤加减治疗肥胖2型糖尿病伴糖尿病肾病的临床研究	刘科	广西中医药大学	硕士	2017		299	原版阅读      CNKI AI阅读
611	针药结合治疗脾肾阳虚型单纯性肥胖的临床观察	林娟	广西中医药大学	硕士	2017	10	369	原版阅读      CNKI AI阅读
612	基于KAPC视角的社区中老年人超重肥胖影响因素及干预策略研究	张秀刚	中国中医科学院	硕士	2017	4	358	原版阅读      CNKI AI阅读
613	中药结合运动疗法对肥胖型多囊卵巢综合征BMI及IR指数的临床研究	傅源	广西中医药大学	硕士	2017	1	296	原版阅读      CNKI AI阅读
614	电针及埋线对单纯性肥胖患者血清瘦素、胰岛素影响的研究	王佳捷	湖北中医药大学	硕士	2017	6	339	原版阅读      CNKI AI阅读
615	消痰通腑方对肥胖小鼠结直肠癌前病变的干预及机制研究	顾雨芳	第二军医大学	博士	2017	5	354	原版阅读      CNKI AI阅读
616	通调带脉针刺法治疗腹型肥胖伴轻度认知功能障碍的临床研究	杨媛	北京中医药大学	博士	2017	8	690	原版阅读      CNKI AI阅读
617	降糖消渴颗粒及益气温阳组分对肥胖小鼠C57BL/6J白色脂肪棕色化的影响研究	左加成	北京中医药大学	博士	2017	20	1509	原版阅读      CNKI AI阅读
618	基于人体成分分析对中心性肥胖和外周性肥胖的中医证候研究	陆童凯	浙江中医药大学	硕士	2017		127	原版阅读      CNKI AI阅读
619	三豆苡苓药膳结合有氧运动治疗超重及肥胖痰湿体质人群病症的疗效分析	沈月	西南医科大学	硕士	2017	4	262	原版阅读      CNKI AI阅读
620	温针灸治疗阳虚体质单纯性肥胖的临床疗效观察	李威廷	广州中医药大学	硕士	2017	16	493	原版阅读      CNKI AI阅读
621	补肾化痰法调控肥胖型PCOS-IR的临床疗效分析及经APN信号通路调控卵巢GC糖脂代谢的实验机理研究	李宛静	成都中医药大学	硕士	2017	10	196	原版阅读      CNKI AI阅读
622	药罐疗法对腹型肥胖人群内脏脂肪代谢影响的临床研究	王晓曼	北京中医药大学	硕士	2017	32	765	原版阅读      CNKI AI阅读
623	针刺疗法对腹型肥胖及相关并发症的防治研究	潘晓伟	北京中医药大学	硕士	2017	13	478	原版阅读      CNKI AI阅读
624	葛根芩连汤治疗肥胖2型糖尿病（湿热内蕴型）的临床观察	付贵珍	河南中医药大学	硕士	2017	17	475	原版阅读      CNKI AI阅读
625	电针结合有氧运动对单纯性肥胖基础代谢率的影响	简妙如（Chien,miaoju）	南京中医药大学	硕士	2017	9	442	原版阅读      CNKI AI阅读
626	脐针结合艾灸治疗痰湿型中心性肥胖的临床研究	党海涛	成都中医药大学	硕士	2017	19	508	原版阅读      CNKI AI阅读
627	排刺法加耳穴改善腹部脂肪堆积肥胖患者腹围的随机对照研究	吴昊赛	成都中医药大学	硕士	2017	4	218	原版阅读      CNKI AI阅读
628	肥三针穴位埋线治疗产后肥胖的临床研究	徐伟甄	广州中医药大学	硕士	2017	17	959	原版阅读      CNKI AI阅读
629	经络检测技术指导循经取穴治疗单纯性肥胖的临床观察	兰晓	南方医科大学	硕士	2017	9	434	原版阅读      CNKI AI阅读
630	电针介入时间对单纯性肥胖临床疗效的影响	黄迪迪	南京中医药大学	硕士	2018	2	164	原版阅读      CNKI AI阅读
631	耳穴埋针干预超重或肥胖2型糖尿病患者的相关临床指标研究	徐慧文	南京中医药大学	硕士	2017	20	519	原版阅读      CNKI AI阅读
632	电针结合光电治疗对肥胖型PCOS脂代谢影响的临床研究	蒋仕玉	南京中医药大学	硕士	2017	5	293	原版阅读      CNKI AI阅读
633	补肾化痰方联合二甲双胍治疗肥胖型多囊卵巢综合征的临床研究	刘美琪	南京中医药大学	硕士	2017	12	451	原版阅读      CNKI AI阅读
634	健脾益气针法对肥胖鼠肠道菌群及肠黏膜TLRs/TRAF6信号通路的调控研究	司原成	成都中医药大学	博士	2017	25	1271	原版阅读      CNKI AI阅读
635	王东教授以消脂减肥方治疗单纯性肥胖的经验总结	李红星	辽宁中医药大学	硕士	2017	11	654	原版阅读      CNKI AI阅读
636	超重和肥胖2型糖尿病患者中医证型分布及与胰岛素抵抗相关性分析	胡爽	辽宁中医药大学	硕士	2017	7	337	原版阅读      CNKI AI阅读
637	健脾化痰活血方对肥胖2型糖尿病胰岛素敏感性的影响	翁玮潞	辽宁中医药大学	硕士	2017	7	146	原版阅读      CNKI AI阅读
638	解毒通络调肝方加减改善肥胖2型糖尿病患者糖脂代谢的临床研究	于淼	长春中医药大学	硕士	2017	5	184	原版阅读      CNKI AI阅读
639	解毒通络调肝方加减治疗肥胖2型糖尿病伴非酒精性脂肪肝患者的临床观察	宫畅	长春中医药大学	硕士	2017	5	166	原版阅读      CNKI AI阅读
640	维吾尔族肥胖性高血压患者冬、夏至附近节气唾液皮质醇之变化研究	姚剑婷	新疆医科大学	硕士	2017	2	84	原版阅读      CNKI AI阅读
641	健康指导配合中药治疗痰湿型PCOS肥胖患者的临床疗效观察	郑洁莉	广州中医药大学	硕士	2016	1	271	原版阅读      CNKI AI阅读
642	济南地区中小学生肥胖/超重发生率调查及舌象特点分析	姚月华	山东中医药大学	硕士	2016	2	203	原版阅读      CNKI AI阅读
643	穴位埋线配合耳穴压豆治疗单纯性肥胖合并痰湿型月经后期疗效观察	田文卿	山东中医药大学	硕士	2016	7	338	原版阅读      CNKI AI阅读
644	糖肝煎联合电针治疗肝郁脾虚、湿热蕴结型单纯性肥胖的临床疗效观察	高超	湖北中医药大学	硕士	2016	2	261	原版阅读      CNKI AI阅读
645	围绝经期肥胖患者证素分布特点及与肥胖相关指数关系的研究	钟承瑾	福建中医药大学	硕士	2016	10	285	原版阅读      CNKI AI阅读
646	防风通圣丸治疗单纯性肥胖的临床疗效观察及对LP、APN的影响	吴文妙	黑龙江中医药大学	硕士	2016	6	339	原版阅读      CNKI AI阅读
647	佩连麻黄方联合穴位埋线治疗肥胖的临床疗效观察及机制探讨	刘鬯	黑龙江中医药大学	硕士	2016	2	248	原版阅读      CNKI AI阅读
648	佩连麻黄方治疗单纯性肥胖的疗效观察及对脂多糖（LPS）的影响	于洪宇	黑龙江中医药大学	硕士	2016	9	283	原版阅读      CNKI AI阅读
649	电针治疗脾虚湿阻型女性肥胖患者的单盲随机对照试验	韩燕萍	黑龙江中医药大学	硕士	2016	11	369	原版阅读      CNKI AI阅读
650	加味苍附导痰颗粒治疗儿童单纯性肥胖（痰湿型）的临床观察	秦秀	黑龙江中医药大学	硕士	2016	10	513	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
651	佩连麻黄方配合针刺治疗单纯性肥胖的临床评价及对血浆NPY的影响	史绪博	黑龙江中医药大学	硕士	2016	4	172	原版阅读      CNKI AI阅读
652	埋线疗法中浸药羊肠线在肥胖大鼠体内抗排斥反应的机理研究	阮祯	湖北中医药大学	硕士	2016	1	161	原版阅读      CNKI AI阅读
653	针灸治疗对单纯性肥胖患者肠道菌群的调节效应	梁媚	广西中医药大学	硕士	2016	36	878	原版阅读      CNKI AI阅读
654	肥胖性高血压大鼠肾脏损伤的生物学特征及刺蒺藜干预的机制研究	孟宪卿	山东中医药大学	博士	2016	14	549	原版阅读      CNKI AI阅读
655	基于瘦素介导的下丘脑JAK2/STAT3通路探讨加味半夏白术天麻汤改善肥胖性高血压的机制研究	吴赛	山东中医药大学	博士	2016	16	1293	原版阅读      CNKI AI阅读
656	无饥饿禁食疗法治疗脾虚痰浊型肥胖型2型糖尿病临床观察	杨庆玲	山东中医药大学	硕士	2016	4	377	原版阅读      CNKI AI阅读
657	肥胖型PCOS内分泌代谢特征及中医药治疗研究	戴元权	山东中医药大学	硕士	2016		189	原版阅读      CNKI AI阅读
658	健脾化痰、通腑泄浊法改善肥胖型2型糖尿病胰岛素抵抗临床观察	王爱秋	山东中医药大学	硕士	2016	3	217	原版阅读      CNKI AI阅读
659	电针结合有氧运动及饮食干预治疗胃热湿阻型单纯性肥胖的临床观察	梁倩妍	湖北中医药大学	硕士	2016	5	305	原版阅读      CNKI AI阅读
660	穴位埋线合并中药治疗脾虚痰湿型肥胖的临床研究	曾俊凯（Tseng Chun-kai）	广州中医药大学	博士	2016	11	1523	原版阅读      CNKI AI阅读
661	淮扬金花菜（秧草）对单纯性肥胖大鼠脂代谢调节及其分子机制初步探讨	张广庆	黑龙江中医药大学	硕士	2016	1	97	原版阅读      CNKI AI阅读
662	赖氏通元针法治疗脾虚湿阻型单纯性肥胖的临床研究	许秀玫	广州中医药大学	硕士	2016	9	358	原版阅读      CNKI AI阅读
663	补肾健脾法联合黄体酮治疗先兆流产伴肥胖型PCOS的临床研究	黄佳伊	广西中医药大学	硕士	2016	1	171	原版阅读      CNKI AI阅读
664	肥胖型与非肥胖型多囊卵巢综合征中医证素分析及临床疗效初步评价	成莹莹	北京中医药大学	硕士	2016	7	527	原版阅读      CNKI AI阅读
665	针灸干预腹型肥胖防治代谢综合征的探索性研究	孙玉秀	北京中医药大学	硕士	2016	12	634	原版阅读      CNKI AI阅读
666	肥胖人群不同中医体质类型的代谢组学比较研究	岳子敬	北京中医药大学	硕士	2016	18	1006	原版阅读      CNKI AI阅读
667	基于文献分析的成年单纯性肥胖方药规律研究	毛晓明	河南中医药大学	硕士	2016	10	586	原版阅读      CNKI AI阅读
668	电针结合激光治疗肥胖型多囊卵巢综合征的临床疗效观察	陈雯霞	南京中医药大学	硕士	2016	2	176	原版阅读      CNKI AI阅读
669	基于人体成分分析观察电针结合耳压治疗肥胖型多囊卵巢综合症的临床研究	刘汉钧	南京中医药大学	博士	2016	7	522	原版阅读      CNKI AI阅读
670	成都中医药大学附属医院肥胖患者中医体质分析	李成俊（LEE TSENG CHUN）	成都中医药大学	硕士	2016	12	301	原版阅读      CNKI AI阅读
671	艾塞那肽治疗肥胖2型糖尿病的疗效、胃肠道不良反应与中医证型的相关性初探	肖恒	成都中医药大学	硕士	2016	5	155	原版阅读      CNKI AI阅读
672	穴位埋线治疗痰湿型肥胖伴月经过少的临床研究	陶腊梅	南京中医药大学	硕士	2016	11	332	原版阅读      CNKI AI阅读
673	电针结合饮食控制治疗单纯性肥胖的临床研究	裴海寅（Bae Hae In）	南京中医药大学	博士	2016	7	490	原版阅读      CNKI AI阅读
674	单纯性肥胖临床基本证型分析与针灸辨证施治的临床研究	许育维	南京中医药大学	博士	2016	12	605	原版阅读      CNKI AI阅读
675	清养化浊法对2型糖尿病肥胖型患者TNF-α、LEP水平的影响	牟晓华	安徽中医药大学	硕士	2016	7	222	原版阅读      CNKI AI阅读
676	穴位埋线治疗痰湿型肥胖伴糖耐量异常的临床研究	许蕾	安徽中医药大学	硕士	2016	15	412	原版阅读      CNKI AI阅读
677	从太阴病理法对中医药防治肥胖的思考与实践	张守中	浙江中医药大学	硕士	2016		104	原版阅读      CNKI AI阅读
678	超重或肥胖对2型糖尿病并发症发病率的影响及其中医病因病机研究	林芳菲	辽宁中医药大学	硕士	2016	15	607	原版阅读      CNKI AI阅读
679	平陈汤对肥胖痰湿型2型糖尿病前期患者胰岛素抵抗指数干预的临床研究	周欢	甘肃中医药大学	硕士	2016	11	523	原版阅读      CNKI AI阅读
680	312经络锻炼法对肥胖性高血压患者干预效果的研究	严培晶	福建中医药大学	硕士	2015	8	311	原版阅读      CNKI AI阅读
681	健脾除湿通络法治疗肥胖型2型糖尿病前期的临床研究	梁淑芬	山西中医学院	硕士	2015	5	220	原版阅读      CNKI AI阅读
682	佩连麻黄方治疗单纯性肥胖的疗效观察及对INS、GLP-1、IAPP的影响	李健	黑龙江中医药大学	硕士	2015	7	200	原版阅读      CNKI AI阅读
683	从LncRNA初探降糖调脂方干预肥胖T2DM合并血脂异常机制	王松	中国中医科学院	硕士	2015	5	168	原版阅读      CNKI AI阅读
684	迎随式穴位埋线治疗脾虚湿阻型单纯性肥胖的临床研究	李玲	湖北中医药大学	硕士	2015	5	255	原版阅读      CNKI AI阅读
685	穴位埋线与电针治疗单纯性肥胖的临床对比研究	颜晓蓉	湖北中医药大学	硕士	2015	4	343	原版阅读      CNKI AI阅读
686	补肾健脾方对行IVF-ET肥胖型PCOS患者血清AMH与OHSS的影响	韩琳	山东中医药大学	硕士	2015	5	162	原版阅读      CNKI AI阅读
687	养精种玉加味方对IVF-ET非肥胖型PCOS患者血清AMH与OHSS的影响	支晓琴	山东中医药大学	硕士	2015	3	176	原版阅读      CNKI AI阅读
688	荷夏化浊颗粒对肥胖相关性肾病的干预治疗及对脂联素水平的影响	杨婉蓉	山东中医药大学	硕士	2015		122	原版阅读      CNKI AI阅读
689	肥胖型多囊卵巢综合征患者中医体质类型的研究	孙玉洁	山东中医药大学	硕士	2015	6	289	原版阅读      CNKI AI阅读
690	肥胖型多囊卵巢综合征中医证候分布规律及相关因素研究	许建红	山东中医药大学	硕士	2015	3	308	原版阅读      CNKI AI阅读
691	基于结构化中医住院病历数据的超重及肥胖2型糖尿病病证结合诊疗规律探讨	童楠	北京中医药大学	硕士	2015	9	516	原版阅读      CNKI AI阅读
692	腹针疗法治疗单纯性肥胖的系统评价	李霄汉	成都中医药大学	硕士	2015		279	原版阅读      CNKI AI阅读
693	中西医结合治疗肥胖伴胰岛素抵抗型多囊卵巢综合征的临床研究	马媛美	扬州大学	硕士	2015	2	216	原版阅读      CNKI AI阅读
694	穴位敷贴治疗单纯性肥胖胃肠腑热证的临床疗效观察	李友	湖南中医药大学	硕士	2015	13	546	原版阅读      CNKI AI阅读
695	黄连素联合加减苍附导痰汤对肥胖型PCOS患者的血清MCP-1水平的影响	刘伟	广州中医药大学	硕士	2015	10	384	原版阅读      CNKI AI阅读
696	电针通过增强线粒体功能改善肥胖大鼠胰岛素抵抗的实验研究	陈凤丽	南京中医药大学	硕士	2015	2	198	原版阅读      CNKI AI阅读
697	针刺治疗单纯性肥胖的文献质量评价及其临床用穴规律探讨	黄勉雄	广州中医药大学	博士	2015	10	597	原版阅读      CNKI AI阅读
698	不同材料穴位埋线治疗单纯性肥胖的疗效及安全性评价	潘友灿	广州中医药大学	硕士	2015	10	405	原版阅读      CNKI AI阅读
699	黄连素联合中药对肥胖型PC0S患者胰岛素抵抗及血脂水平的影响	王育云	广州中医药大学	硕士	2015	2	305	原版阅读      CNKI AI阅读
700	超重及肥胖型的糖尿病肾病中医证候特点研究分析	赖铭波	广州中医药大学	硕士	2015	3	242	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
701	小针刀泻胃火治疗单纯性腹型肥胖的临床及中西医结合机理探讨	林衍志	南京中医药大学	硕士	2015	9	232	原版阅读      CNKI AI阅读
702	电针结合拔罐治疗不同中医证型单纯性肥胖的临床研究	余晓荣	甘肃中医药大学(原名：甘肃中医学院)	硕士	2015	3	265	原版阅读      CNKI AI阅读
703	超重肥胖对糖尿病肾脏疾病患者中医临床特征及理化指标的影响	张倩	辽宁中医药大学	硕士	2015		74	原版阅读      CNKI AI阅读
704	针灸治疗单纯性肥胖的现代临床文献研究	刘纯汝	广州中医药大学	硕士	2015	8	491	原版阅读      CNKI AI阅读
705	二陈汤对肥胖大鼠LPL和EL表达影响的研究	鄢春锦	福建中医药大学	硕士	2014	4	248	原版阅读      CNKI AI阅读
706	眩晕4号方治疗高血压合并腹型肥胖临床研究	白继涛	山东中医药大学	硕士	2014		117	原版阅读      CNKI AI阅读
707	佩连麻黄方治疗肥胖症的临床评价及对肥胖大鼠瘦素信号转导通路的影响	马建	黑龙江中医药大学	博士	2014	16	895	原版阅读      CNKI AI阅读
708	肥胖的证治规律研究	史兴洲	辽宁中医药大学	硕士	2014	5	421	原版阅读      CNKI AI阅读
709	福州地区冠心病血瘀患者的证素特征及其与肥胖测量指标的相关性研究	刘元粦	福建中医药大学	硕士	2014	3	163	原版阅读      CNKI AI阅读
710	排刺结合穴位埋线治疗脾虚湿盛型肥胖90例的临床观察	邓俏	黑龙江中医药大学	硕士	2014	2	343	原版阅读      CNKI AI阅读
711	滋潜化痰汤联合西医常规对腹型肥胖者血压、血脂的影响	王亮友	黑龙江中医药大学	硕士	2014	2	203	原版阅读      CNKI AI阅读
712	温肾化痰调经方联合二甲双胍治疗肾虚痰瘀型肥胖性闭经的临床观察	柳琳	湖北中医药大学	硕士	2014	3	393	原版阅读      CNKI AI阅读
713	温肾健脾化痰方治疗单纯性肥胖的临床及实验研究	司银梅	湖北中医药大学	博士	2014	29	1660	原版阅读      CNKI AI阅读
714	自拟芪术汤治疗肥胖相关性高血压病的临床观察及对饮食诱导肥胖的实验机理研究	张佳琪	山东中医药大学	硕士	2014	4	307	原版阅读      CNKI AI阅读
715	肥胖型疑似PCOS的中医证型分布规律及发病相关因素研究	韩旭	山东中医药大学	硕士	2014	2	220	原版阅读      CNKI AI阅读
716	加味二陈汤配合埋线对肥胖型多囊卵巢综合征患者胰岛素抵抗的影响	彭颖洁	山东中医药大学	硕士	2014	17	496	原版阅读      CNKI AI阅读
717	温胆降脂颗粒治疗肥胖相关性肾病的临床观察	安安	山东中医药大学	硕士	2014	4	167	原版阅读      CNKI AI阅读
718	穴位埋线与电针治疗单纯性肥胖的临床比较研究	赵永会	山东中医药大学	硕士	2014	4	296	原版阅读      CNKI AI阅读
719	耳甲部电针刺激对肥胖大鼠的影响	冉红星	南京医科大学	硕士	2014	1	121	原版阅读      CNKI AI阅读
720	补肾活血法治疗非肥胖型多囊卵巢综合征的临床疗效观察	韩丽	成都中医药大学	硕士	2014		275	原版阅读      CNKI AI阅读
721	肥胖型早期糖尿病肾病患者中医证候特征探讨	徐玉梅	北京中医药大学	硕士	2014	12	573	原版阅读      CNKI AI阅读
722	补气消痰饮治疗脾肾两虚型超重和单纯性肥胖的临床观察	李奥杰	北京中医药大学	硕士	2014	18	849	原版阅读      CNKI AI阅读
723	薄氏腹针治疗肥胖型2型糖尿病临床疗效观察研究	杨媛	北京中医药大学	硕士	2014	21	734	原版阅读      CNKI AI阅读
724	从胆郁论治中心肥胖型胰岛素抵抗患者的临床干预研究	苏小芳	河南中医学院	硕士	2014	7	181	原版阅读      CNKI AI阅读
725	燥湿化痰中药联合穴位埋线治疗肥胖型多囊卵巢综合征胰岛素抵抗的临床研究	万庆芝	南京中医药大学	硕士	2014	14	760	原版阅读      CNKI AI阅读
726	健脾化痰联合补肾调周法治疗肥胖型多囊卵巢综合征的临床研究	徐敏	南京中医药大学	硕士	2014	4	442	原版阅读      CNKI AI阅读
727	针刺治疗更年期妇女肥胖的临床研究	Fatima Bilgen	南京中医药大学	硕士	2014	2	274	原版阅读      CNKI AI阅读
728	健脾祛湿针刺法治疗单纯性肥胖的临床研究	曹雯萍	南京中医药大学	硕士	2014	6	421	原版阅读      CNKI AI阅读
729	灵龟八法针刺对单纯性肥胖患者疗效及血糖、血脂的影响	欧志光	广州中医药大学	博士	2014	12	702	原版阅读      CNKI AI阅读
730	不同层次简易穴位埋线对单纯性肥胖患者临床疗效对比研究	刘莉	贵阳中医学院	硕士	2014	11	621	原版阅读      CNKI AI阅读
731	生活方式干预联合加减苍附导痰汤治疗肥胖型PCOS的临床研究	罗晓意	广州中医药大学	硕士	2014	10	526	原版阅读      CNKI AI阅读
732	薄氏腹针对超重或肥胖2型糖尿病的临床干预研究	张君博	广州中医药大学	硕士	2014	10	282	原版阅读      CNKI AI阅读
733	针灸调理气虚痰湿体质治疗单纯性肥胖的临床研究	林培挺	广州中医药大学	硕士	2014	18	1126	原版阅读      CNKI AI阅读
734	隔盐灸神阙穴配合针刺治疗痰湿型肥胖	张琼	广州中医药大学	硕士	2014	15	683	原版阅读      CNKI AI阅读
735	穴位贴敷结合埋线治疗单纯性肥胖的临床观察	陈慧	广州中医药大学	硕士	2014	11	927	原版阅读      CNKI AI阅读
736	针刺与穴位埋线治疗单纯性肥胖患者（脾虚湿阻型）的临床疗效对比观察	郭秀兰	成都中医药大学	硕士	2014	3	285	原版阅读      CNKI AI阅读
737	电针对单纯性肥胖大鼠血脂代谢影响的研究	谭金凤	成都中医药大学	硕士	2014	10	189	原版阅读      CNKI AI阅读
738	脾胃经穴位埋线结合带脉刮痧治疗腹型肥胖的临床疗效观察	张柳	成都中医药大学	硕士	2014	13	557	原版阅读      CNKI AI阅读
739	中西医结合治疗肥胖伴高胰岛素血症的多囊卵巢综合征的临床研究——脾虚痰湿证型	雷欣妤	成都中医药大学	硕士	2014	1	275	原版阅读      CNKI AI阅读
740	消脂汤联合艾塞那肽注射液治疗肥胖伴高尿酸血症的临床研究	罗净	成都中医药大学	硕士	2014	1	127	原版阅读      CNKI AI阅读
741	参芎荷叶汤治疗肥胖2型糖尿病气虚痰瘀证的临床研究	陈子欢	南京中医药大学	硕士	2014	11	363	原版阅读      CNKI AI阅读
742	低频脉冲电刺激治疗肥胖2型糖尿病（湿热困脾证）的临床观察	高立霞	长春中医药大学	硕士	2014	1	226	原版阅读      CNKI AI阅读
743	益肾清肝汤治疗非肥胖型多囊卵巢综合征（肝肾阴虚证）患者的临床研究	陈小丽	福建中医药大学	硕士	2013	5	470	原版阅读      CNKI AI阅读
744	薄氏腹针治疗中心性肥胖的临床疗效观察	王丽梅	湖北中医药大学	硕士	2013	18	562	原版阅读      CNKI AI阅读
745	通脉降压汤治疗肥胖型高血压病临床疗效观察	张玲玲	山东中医药大学	硕士	2013	3	211	原版阅读      CNKI AI阅读
746	黄连解毒汤联合基础胰岛素治疗肥胖型初发2型糖尿病的临床研究	纪文娟	山东中医药大学	硕士	2013	1	310	原版阅读      CNKI AI阅读
747	黄连解毒汤对初发肥胖2型糖尿病患者的临床干预研究	李丽	山东中医药大学	硕士	2013	2	234	原版阅读      CNKI AI阅读
748	针灸治疗单纯性肥胖临床疗效的Meta-分析	李得平	湖北中医药大学	硕士	2013	12	1685	原版阅读      CNKI AI阅读
749	通调带脉针刺法治疗代谢综合征腹型肥胖有效性研究	梁翠梅	北京中医药大学	博士	2013	11	1378	原版阅读      CNKI AI阅读
750	穴位埋线结合耳穴贴压对单纯性肥胖患疗效及血脂、血糖的临床观察研究	郑开文	广州中医药大学	博士	2013	24	2712	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
751	电针经穴配合点刺夹脊穴对痰湿型单纯性肥胖的临床观察	谢冠鸿	广州中医药大学	硕士	2013	1	275	原版阅读      CNKI AI阅读
752	基于不同肥胖指标的肥胖与中医体质类型的关系——以江西省瑞金市466例35-74岁人群为例	邬宁茜	北京中医药大学	硕士	2013	35	1165	原版阅读      CNKI AI阅读
753	穴位埋线治疗单纯性肥胖合并月经后期的临床研究	郑珍炯（Jung Jin-Hyung）	南京中医药大学	硕士	2013	9	449	原版阅读      CNKI AI阅读
754	益气健脾化浊法对肥胖2型糖尿病的临床疗效观察	薛玉坤	成都中医药大学	硕士	2013	5	335	原版阅读      CNKI AI阅读
755	针刺结合中药治疗肥胖2型糖尿病患者（湿热困脾证）胰岛素抵抗及微炎症状态的临床观察	林红坤	长春中医药大学	硕士	2013	5	523	原版阅读      CNKI AI阅读
756	糖脂同调方治疗肥胖2型糖尿病合并血脂异常（胃肠实热证）的临床观察	殷楠	长春中医药大学	硕士	2013	2	216	原版阅读      CNKI AI阅读
757	苦酸通络调肝方治疗肥胖2型糖尿病（肝胃郁热证）的临床研究	王雪莹	长春中医药大学	硕士	2013	6	233	原版阅读      CNKI AI阅读
758	健脾化痰中药联合健康指导对肥胖型PCOS患者慢性炎症因子的影响	薛国凤	广州中医药大学	硕士	2013	13	362	原版阅读      CNKI AI阅读
759	电针结合埋线治疗脾虚湿阻型腹型肥胖的临床研究	朋源凤	广州中医药大学	硕士	2013	7	363	原版阅读      CNKI AI阅读
760	中药联合健康指导对肥胖型多囊卵巢综合征患者胰岛素抵抗及内酯素的影响	潘巧玲	广州中医药大学	硕士	2013		257	原版阅读      CNKI AI阅读
761	埋线对肥胖型多囊卵巢综合征患者脾虚症状与性激素水平的干预	刘晓青	广州中医药大学	硕士	2013	2	324	原版阅读      CNKI AI阅读
762	成年单纯性肥胖的中医证治文献研究	黎健明	广州中医药大学	硕士	2013	16	1033	原版阅读      CNKI AI阅读
763	袪胰抵方对肥胖型T2DM胰岛素抵抗患者血清瘦素及抵抗素的影响	程妍	黑龙江中医药大学	硕士	2012	1	175	原版阅读      CNKI AI阅读
764	糖消汤联合生活方式干预痰湿体质超重、肥胖IGT患者的临床观察	袁朵	湖北中医药大学	硕士	2012	18	297	原版阅读      CNKI AI阅读
765	从脾论治改善2型糖尿病肥胖患者胰岛素抵抗的研究	孙园园	湖北中医药大学	硕士	2012	11	681	原版阅读      CNKI AI阅读
766	高尿酸并腹型肥胖鹌鹑模型证候特征及菊苣颗粒的作用机制研究	林志健	北京中医药大学	博士	2012		41	原版阅读      CNKI AI阅读
767	痰湿体质与肥胖亚型的相关性及其易发代谢综合征的氧化应激机制研究	李玲孺	北京中医药大学	博士	2012	69	2716	原版阅读      CNKI AI阅读
768	三种治疗单纯性肥胖方法的临床疗效研究	林宴菱	广州中医药大学	博士	2012	24	3056	原版阅读      CNKI AI阅读
769	清热降浊方治疗肥胖2型糖尿病合并血脂异常（肝胃郁热证）临床研究的亚组分析	车慧	北京中医药大学	硕士	2012	3	533	原版阅读      CNKI AI阅读
770	针灸“关元”穴干预营养性肥胖大鼠脂联素的实验研究	李京真	北京中医药大学	硕士	2012	20	420	原版阅读      CNKI AI阅读
771	化痰祛瘀补肾法治疗肥胖型多囊卵巢综合征的临床观察	焦楠	北京中医药大学	硕士	2012	12	1152	原版阅读      CNKI AI阅读
772	加味二陈汤联合中药周期疗法治疗肾虚痰湿肥胖型多囊卵巢综合征临床研究	许丽凤	广州中医药大学	硕士	2012	14	669	原版阅读      CNKI AI阅读
773	疏肝运脾法对肥胖合并高血压的降压疗效及对胰岛素抵抗的影响	郑立虎	山东中医药大学	硕士	2012	3	330	原版阅读      CNKI AI阅读
774	穴位埋线对肥胖型多囊卵巢综合征患者性激素水平、胰岛素抵抗的影响	康春静	山东中医药大学	硕士	2012	9	573	原版阅读      CNKI AI阅读
775	中药结合不同频率电针治疗肥胖型PCOS的临床研究	万鹏飞	山东中医药大学	硕士	2012	11	434	原版阅读      CNKI AI阅读
776	开郁清胃化瘀法治疗肥胖2型糖尿病肝胃郁热夹瘀证的临床研究	仲琴	南京中医药大学	硕士	2012	5	364	原版阅读      CNKI AI阅读
777	补肾化痰法联合生活方式调整治疗肥胖型多囊卵巢综合征的临床研究	杜国华	南京中医药大学	硕士	2012	12	456	原版阅读      CNKI AI阅读
778	温针结合拔罐治疗单纯性肥胖的临床研究	李骏霖	广州中医药大学	博士	2012	12	955	原版阅读      CNKI AI阅读
