	篇名	作者	刊名	发表时间	被引	下载	操作
637	基于CiteSpace的真武汤研究进展知识图谱可视化分析	李瑞煜 张翅 吴建国 唐莉 朱雅宁 万丽	中药与临床	2022-07-25	4	447	HTML阅读      CNKI AI阅读
638	新型冠状病毒肺炎关联舌诊研究文献的可视化分析	门韶洋 陈誉滔 林煌博 郑涵 张洪来	中国中医药图书情报杂志	2022-07-21	2	582	HTML阅读      CNKI AI阅读
639	基于CiteSpace知识图谱分析玄府学说研究现状	肖广艳 方俊霖 张昌云 臧晓明 曲一诺 谭奇纹	山东中医药大学学报	2022-07-20	7	677	HTML阅读      CNKI AI阅读
640	中医药健康服务与管理领域的知识图谱可视化分析	汪静娜 吴夏秋 王斌艳 李海滨 荣超 郭清	浙江中医药大学学报	2022-07-20	14	827	HTML阅读      CNKI AI阅读
641	中医领域内关于孤独症谱系障碍的研究现状及未来趋势分析-基于CiteSpace和VOSviewer的可视化分析	薛雅若 李建兵 安子萌 李彦彩 隋宇航 茅若兰 陈栋 鲍超	世界科学技术-中医药现代化	2022-07-19 16:49	14	2012	HTML阅读      CNKI AI阅读
642	基于文献计量学视角下我国医学领域可视化分析现状研究	张小平 易静 孙红亮 任婕 张争	采写编	2022-07-15	3	366	HTML阅读      CNKI AI阅读
643	基于CiteSpace的高血压中医外治法相关研究的可视化分析	王宁 王瑞祥 宋咏梅	中国医药导报	2022-07-15	11	1173	HTML阅读      CNKI AI阅读
644	近30年中医药防治功能性肛门直肠痛研究文献可视化分析	袁润 姜芸 雷沥 李华山	中国中医药信息杂志	2022-07-14 11:46	9	748	HTML阅读      CNKI AI阅读
645	近20年中医药防治化疗后骨髓抑制研究现状可视化分析	熊宏泰 高劲 于惠博 郑红刚	中国中医药信息杂志	2022-07-12 09:13	15	1090	HTML阅读      CNKI AI阅读
646	中医药防治青光眼的CiteSpace知识图谱分析研究	郭玉娟 蹇文渊 周海兵 周跃华	中医眼耳鼻喉杂志	2022-07-11		233	HTML阅读      CNKI AI阅读
647	基于多分析方法联合的中医药调控mTOR通路文献计量学及可视化分析 增强出版	惠小珊 陆诗超 刘咏梅 王诗琦 周思远 张金生 王阶	中国实验方剂学杂志	2022-07-10 08:31	6	1254	HTML阅读      CNKI AI阅读
648	基于CiteSpace的中医药治疗动脉粥样硬化的文献计量及可视化分析	薛文静 胡元会 杨一格 柴若宁 许荣荣	中国医药导报	2022-07-05	2	949	HTML阅读      CNKI AI阅读
649	基于知识图谱的《黄帝内经》中医术语翻译研究现状分析	潘海鸥 李嘉鑫 杨宇峰	中华中医药学刊	2022-07-04 15:27	5	2027	HTML阅读      CNKI AI阅读
650	基于CiteSpace的H型高血压治疗相关文献可视化分析	王金星 王紫艳 康焱红 方芳 陈偶英 曾勇	中医药导报	2022-06-28	10	679	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
651	基于CiteSpace知识图谱的中医治疗早发性卵巢功能不全的可视化分析	白晓娟 郝秀芳 李云波	世界中西医结合杂志	2022-06-28	3	806	HTML阅读      CNKI AI阅读
652	2002-2021年中医药数据库研究文献可视化分析	丁萌萌 田紫煜 陈媛媛 齐大河 王可欣 钱莹 孔令博	中国中医药信息杂志	2022-06-24 11:22	5	610	HTML阅读      CNKI AI阅读
653	2000年至2020年国内肺络研究领域的CiteSpace文献计量与可视化分析	邹吉宇 庞立健 吕晓东	世界科学技术-中医药现代化	2022-06-23 15:00	13	1370	HTML阅读      CNKI AI阅读
654	近20年慢性心力衰竭阳虚证研究文献可视化分析	廉坤 孟骊冲 方格 张君宇 胡志希	中国中医药信息杂志	2022-06-22 11:16	12	736	HTML阅读      CNKI AI阅读
655	基于文献计量学分析中医药领域缓慢性心律失常的研究现状与发展趋势	王旭杰 李嘉茜 张雪雪 王妙然 张蕊 周忠阳 倪恬 顾继昱 吴宇飞 唐威 王怡 张菀桐 李秋艳 翁维良	世界科学技术-中医药现代化	2022-06-21 11:45	10	1522	HTML阅读      CNKI AI阅读
656	基于Citespace对中医药治疗早泄研究的可视化分析	张天翼 王广建 邓晋超 陈广辉 张晋铖 李波	辽宁中医杂志	2022-06-15 11:34	6	1033	HTML阅读      CNKI AI阅读
657	基于citespace的抵当汤研究知识图谱分析	尹晓薇 张玥 靖金鹏 王冠 张军	辽宁中医杂志	2022-06-15 11:27	4	850	HTML阅读      CNKI AI阅读
658	基于CiteSpace和数据挖掘分析中医药治疗小儿咳嗽变异型哮喘的文献研究	杨雪 陈耀华 张林 张洛凡 王陟 梁峰	辽宁中医杂志	2022-06-15 10:26	3	1024	HTML阅读      CNKI AI阅读
659	中医药对新型冠状病毒肺炎研究的知识图谱可视化分析	王丽平 王雅惠 王月 刘若一 邹忆怀	中国中医急症	2022-06-15		693	HTML阅读      CNKI AI阅读
660	基于CiteSpace中医药治疗肝豆状核变性相关研究的可视化分析	王丽丽 牛聪影 王燕 孙彩杰 江海林 占婷婷 袁娟 杨杰	齐齐哈尔医学院学报	2022-06-15	2	395	HTML阅读      CNKI AI阅读
661	基于CiteSpace的中医药治疗腰椎间盘突出症研究进展及趋势分析	王焕勇 刘立志 徐利飞	新中医	2022-06-10	10	761	HTML阅读      CNKI AI阅读
662	基于CiteSpace和VOSviewer的知识图谱可视化分析探讨中医药院校课程思政研究现状与趋势	吴文思 陈建洪 蔡晶 占璐 艾斌 陈天懿	中医药通报	2022-06-10	2	553	HTML阅读      CNKI AI阅读
663	中医药抗心肌细胞凋亡研究文献可视化分析	彭丽琪 蔡虎志 罗云涛 别明珂 张媛婷 刘越美 陈青扬 陈新宇	中国中医药信息杂志	2022-06-09 15:01	5	473	HTML阅读      CNKI AI阅读
664	基于CiteSpace可视化分析代谢组学在中医药领域的研究现状及趋势	张春娇 姜明孝 鹿朦 孙悦 程瑞飞 顾进	世界科学技术-中医药现代化	2022-06-07 13:29	5	1039	HTML阅读      CNKI AI阅读
665	知识图谱视角下微观辨证的研究主题及演化趋势	夏淑洁 王义军 朱龙 杨程 闵莉 李灿东	中国中西医结合杂志	2022-06-01 10:16	6	643	HTML阅读      CNKI AI阅读
666	基于CiteSpace对陈无择《三因极一病证方论》研究现状可视化分析与探讨	谷献旦 周超凡	光明中医	2022-05-28	4	484	HTML阅读      CNKI AI阅读
667	国内外癌因性疲乏的研究现状、热点演化与整合展望—基于文献计量学的可视化图谱分析	谷珊珊 许云 王晶惠	肿瘤防治研究	2022-05-25	9	1120	HTML阅读      CNKI AI阅读
668	中医药治疗紫癜性肾炎研究进展的可视化分析	孙利辉 丁樱 韩姗姗 代彦林	中国药事	2022-05-20	5	676	HTML阅读      CNKI AI阅读
669	基于CiteSpace的中医药治疗失眠知识图谱可视化分析	江张胜 赵晨玲 董婷	陕西中医药大学学报	2022-05-20	11	1051	HTML阅读      CNKI AI阅读
670	基于CiteSpace的中医药治疗甲状腺功能亢进症知识图谱可视化分析	宫成军 崔鹏 马晓燕	时珍国医国药	2022-05-20	12	1912	HTML阅读      CNKI AI阅读
671	基于CiteSpace知识图谱对中药治疗慢性心力衰竭研究热点与趋势的可视化分析	王茹 王承龙	中西医结合心脑血管病杂志	2022-05-19 14:30	6	666	HTML阅读      CNKI AI阅读
672	2000-2021年证素研究文献可视化分析	曾小珂 孙贵香 孙豪娴 毛欣 邱丽婷 张冀东 张千旭 孙光荣	中国中医药信息杂志	2022-05-16 15:38	13	589	HTML阅读      CNKI AI阅读
673	基于CiteSpace的中医药治疗新型冠状病毒肺炎知识图谱分析	李思思 杨金月 赵勇 华川 左新河	西部中医药	2022-05-15	2	494	HTML阅读      CNKI AI阅读
674	基于CiteSpace的中医药治疗肝硬化热点与前沿分析	张莹雪 孙凤霞 李晓玲 郭雨菲	中国医药导报	2022-05-15	6	563	HTML阅读      CNKI AI阅读
675	近40年中医药治疗血栓闭塞性脉管炎研究文献可视化分析	王徐红 柳国斌 徐磊	中国中医药信息杂志	2022-5-5 14:12	12	1479	HTML阅读      CNKI AI阅读
676	基于CiteSpace可视化分析近10年中医药领域肺癌研究热点和趋势	杨世玉 彭廷云	山东中医杂志	2022-05-05	10	1335	HTML阅读      CNKI AI阅读
677	基于VOSviewer和CiteSpace知识图谱对中医药调节坏死性凋亡的可视化分析	阳晶晶 邓奕辉 蔡昱哲 陈祥宇 李定祥	中国中药杂志	2022-04-29 10:33	31	3780	HTML阅读      CNKI AI阅读
678	基于CiteSpace分析2012—2021年中医药期刊载文情况	梁葆朱 冯长旭 贾志新 翟春涛 张世霞 穆俊霞	山西中医药大学学报	2022-04-28		202	HTML阅读      CNKI AI阅读
679	基于CiteSpace的中医药治疗癌痛科学知识图谱分析	牛潇菲 张畅 李小江	世界科学技术-中医药现代化	2022-04-25 15:53	20	2082	HTML阅读      CNKI AI阅读
680	近10年易水学派研究热点与发展趋势的CiteSpace知识图谱可视化分析	许恒 张金民 张雅绮 刘大胜 李福海 葛少钦 赵汉青	医学研究与教育	2022-04-25	2	372	HTML阅读      CNKI AI阅读
681	基于文献计量学分析中医外治法治疗颈椎病研究现状	谢宏伟 刘渊 徐明瑶 黄一芳 覃小律 梁雨薇	中国中医药现代远程教育	2022-04-24	4	935	HTML阅读      CNKI AI阅读
682	近40年中医药干预自身免疫性肝病研究可视化分析	付裕刚 李家诚 邾莹莹 师哲 曹梦醒 李勇	中国中医药信息杂志	2022-04-20 15:48	2	714	HTML阅读      CNKI AI阅读
683	基于CiteSpace针灸治疗功能性便秘研究状况和趋势可视化分析	昝燕 熊坚 阮敏敏 罗宇 刘嘉程 庞彦毅 王萌	中国民族民间医药	2022-04-15	11	799	HTML阅读      CNKI AI阅读
684	基于CiteSpace的补肾法治疗痴呆的可视化分析	宋佳 陈仁波 盖国忠 李鹤	中国医药导报	2022-04-15	4	776	HTML阅读      CNKI AI阅读
685	基于CiteSpace中医药治疗溃疡性结肠炎的可视化分析	吴会晓 蔡毅东	中国医药导报	2022-04-15	7	1366	HTML阅读      CNKI AI阅读
686	基于CiteSpace及VOSviewer的儿童抽动障碍可视化分析	周丽芳 陈艾	中国医药导报	2022-04-15	3	821	HTML阅读      CNKI AI阅读
687	基于CiteSpace的亚健康中医体质知识图谱可视化与文献计量分析	王东军 孙璇 田春颖 孙旭 关媛媛 李馨 步怀恩 王泓午	西部中医药	2022-04-15	14	734	HTML阅读      CNKI AI阅读
688	基于CiteSpace的中医药治疗化疗所致恶心呕吐研究热点的可视化分析	高朗 覃鹏 陈小芳 邓兴华 李晓华 茶秀艳 蔡政	云南中医学院学报	2022-04-15	6	327	HTML阅读      CNKI AI阅读
689	基于Citespace探索近10年间中医药治疗慢性肾脏病（非透析）的文献计量学研究	唐阁 郭艳华 张林 王喜红 杨晓琨	天津中医药	2022-04-12	4	749	HTML阅读      CNKI AI阅读
690	基于CiteSpace的中医医疗服务价格研究现状与热点分析	石斌 冯美菱 吴绍峰 程方安	老字号品牌营销	2022-04-10		412	HTML阅读      CNKI AI阅读
691	基于Citespace知识图谱的推拿治疗糖尿病研究可视化分析	谢会慧 丛德毓 谢东伶 孙浩 李湛鑫 张馨心 吴兴全	中医药通报	2022-04-10	7	718	HTML阅读      CNKI AI阅读
692	基于CiteSpace的我国阳虚质调护研究热点与趋势可视化分析	贾晓洁 魏雅琪 洪珍兰 陈燕清 赵勇	循证护理	2022-04-10	1	483	HTML阅读      CNKI AI阅读
693	基于CiteSpace分析冠心病痰瘀互结证的研究热点及趋势	赵攀 石英杰 刘成源	中西医结合心脑血管病杂志	2022-04-10	2	546	HTML阅读      CNKI AI阅读
694	基于CiteSpace对中医药防治老年高血压的可视化分析	杜宜航 胡元会 张雪松 石晶晶 周玉 朱雪萍 杨亦含 段城林	中西医结合心脑血管病杂志	2022-04-10	6	647	HTML阅读      CNKI AI阅读
695	基于CiteSpace的中医药治疗化疗后骨髓抑制研究热点的可视化分析	许悦 徐桂华 王庆 潘娅岚 谭佳妮 杨敏 叶慧	世界科学技术-中医药现代化	2022-04-03 16:11	25	2762	HTML阅读      CNKI AI阅读
696	基于CiteSpace可视化分析中医药治疗胃食管反流病的研究热点与前沿	陶紫晶 独思静 张格知 曹增 魏玮	中医药导报	2022-03-28	10	1017	HTML阅读      CNKI AI阅读
697	国内健康管理模式研究的知识图谱可视化分析	周雪晴 冯贤荣	中医药管理杂志	2022-03-28	4	811	HTML阅读      CNKI AI阅读
698	基于CiteSpace的中医药治疗代谢综合征知识图谱分析	刘志栋 张柯培 张意 王淼 周时高	河北中医	2022-03-28		397	HTML阅读      CNKI AI阅读
699	基于CiteSpace的护理研究生临床实践热点与趋势的可视化分析	王金星 张静平 王红红 陈偶英 陈燕 李东雅 朱红英 秦莉花	湖南中医杂志	2022-03-27	2	1290	HTML阅读      CNKI AI阅读
700	基于CNKI的中医药治疗年龄相关性黄斑变性研究的可视化分析	刘春 刘梅 段俊国	中药与临床	2022-03-25		87	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
701	基于CiteSpace国内多囊卵巢综合征护理研究的可视化分析	肖纯 刘娅健 李文雅 彭晓玲	循证护理	2022-03-25	5	1167	HTML阅读      CNKI AI阅读
702	基于Citespace的国内肿瘤舌象研究可视化分析(2001-2020年)	王东军 张颖 关媛媛 田之魁 孙璇 周宗慧 朱青青 周密 张乃金 王泓午	世界科学技术-中医药现代化	2022-03-24 17:24	9	1745	HTML阅读      CNKI AI阅读
703	基于CiteSpace的新型冠状病毒肺炎中医药防治方案的可视化分析	肖瑶 许乐思 明浩	浙江中医药大学学报	2022-03-20	3	832	HTML阅读      CNKI AI阅读
704	基于CiteSpace和VOSviewer的国内近30年来中医药治疗胃癌前病变研究的文献计量学分析	梁依敏 梁文心 杨鑫龙 黄穗平	时珍国医国药	2022-03-20	15	2315	HTML阅读      CNKI AI阅读
705	2000-2020年中医药防治疫病国外文献的可视化分析与国内外热点对比研究	徐曼如 何易 张婷婷 叶莹	成都中医药大学学报	2022-03-15	2	794	HTML阅读      CNKI AI阅读
706	基于CiteSpace的艾灸治疗压力性损伤知识图谱可视化分析	任羽雯 马小琴 郭冉 颜新凌 黄瑞盈	医学信息	2022-03-15	1	620	HTML阅读      CNKI AI阅读
707	基于CiteSpace的中医体质与行为生活方式研究知识图谱可视化分析	贾丽燕 朱燕波 张千 赵心源	天津中医药	2022-03-12	4	842	HTML阅读      CNKI AI阅读
708	基于CiteSpace的中医药治疗高血压知识图谱可视化分析	王佳博 蒙元洁 冯甜甜 李静 许世洁 吴建军 樊景春	中医药通报	2022-03-10	6	1195	HTML阅读      CNKI AI阅读
709	基于知识图谱的中医药干预非酒精性脂肪性肝病研究现状分析	钱斐 朱力立 朱丹 薛博瑜	中国中医药信息杂志	2022-3-8 7:25	6	1560	HTML阅读      CNKI AI阅读
710	近10年中医药治疗肝癌研究的知识图谱分析	肖琨珉 朱世杰 李可歆 薛鹏 高业博	世界中西医结合杂志	2022-02-28	11	1239	HTML阅读      CNKI AI阅读
711	基于知识图谱中医药诊治特应性皮炎现状分析	崔晗 姚春海 宋艳丽 佘远遥 郎娜 陈少君 张天博 王晶晶	辽宁中医杂志	2022-02-15 11:03	7	957	HTML阅读      CNKI AI阅读
712	基于知识图谱的中医健康体检研究热点与趋势分析	吴丹 周作建 商洪涛	计算机时代	2022-02-15	3	445	HTML阅读      CNKI AI阅读
713	基于CiteSpace可视化分析中医药领域癫痫研究热点和趋势	马威 莫雪妮 吴多 张月 蓝百鑫 刘姣 刘娜	中国医药导报	2022-02-15	4	746	HTML阅读      CNKI AI阅读
714	基于CiteSpace中医情志护理研究可视化分析	赖鹏 林国栋 林昌稳 刘致含 熊坚 王萌 高炜燕 罗宇	全科护理	2022-02-10	12	1120	HTML阅读      CNKI AI阅读
715	基于CiteSpace的中医药治疗大肠癌文献计量可视化分析	马铭泽 吕桂娇 孙肇阳 孟静岩	中医药导报	2022-01-28	16	1330	HTML阅读      CNKI AI阅读
716	基于CiteSpace可视化分析中医药领域特发性肺纤维化的研究热点和趋势	张宁 郭亚丽 王玉光	中医药导报	2022-01-28	16	1056	HTML阅读      CNKI AI阅读
717	瓜蒌薤白半夏汤研究文献可视化分析	李盈盈 张宇 刘思鸿 吴浩南 唐丹丽	中国中医药信息杂志	2022-01-25 14:53	8	1573	HTML阅读      CNKI AI阅读
718	基于VOSviewer与CiteSpace的中医药调节低氧诱导因子表达研究图谱分析	李泽琪 贺媛炜 罗倩 吴玉娟 逯晶	中国中医药信息杂志	2022-1-24 16:38	16	2265	HTML阅读      CNKI AI阅读
719	基于CiteSpace知识图谱对外泌体在中医药研究应用现状的可视化分析	安笑叶 巨珊珊 丁雪丽 杨晓雄 张冰 林志健	中国中药杂志	2022-01-21 16:38	26	3228	HTML阅读      CNKI AI阅读
720	2004～2020年中医体质领域中文文献关键词图谱分析	谢晴宇 申子宜 宗春玉 韩平欣 荣光 胡佳卉 孙超 佟旭	中国处方药	2022-01-15	5	440	HTML阅读      CNKI AI阅读
721	中医治疗再生障碍性贫血的研究概况与发展	何丹迪 王金环 雍彦礼 赵齐 尚溪瀛 孙凤	中国数字医学	2022-01-15	9	1198	HTML阅读      CNKI AI阅读
722	基于Citespace的中医健康管理知识图谱可视化分析	周宗慧 朱青青 孙璇 王东军 王泓午	天津中医药	2022-01-12	9	907	HTML阅读      CNKI AI阅读
723	近20年中医药治疗股骨头坏死研究热点可视化分析	石淇允 谭旭仪 马潇苒 田涛涛 张颖 李无阴 卢敏 李记天	中国中医药信息杂志	2022-01-11 17:27	17	1526	HTML阅读      CNKI AI阅读
724	基于CiteSpace的中药治疗冠心病心绞痛可视化分析	黄喜春	现代信息科技	2022-01-10	2	333	HTML阅读      CNKI AI阅读
725	中医药防治脑小血管病的CiteSpace知识图谱分析	李婷婷 孙千惠 王博远 张鸿瑞 郑湘宜 高颖	中国中药杂志	2022-01-07 08:30	44	4312	HTML阅读      CNKI AI阅读
726	基于CiteSpace可视化分析中医药领域原发性肝癌的研究热点及趋势	于惠博 胡佳奇 陈顺泰 陈欣 郑红刚	中国医药导报	2022-01-05	3	749	HTML阅读      CNKI AI阅读
727	手法治疗腰椎间盘突出症知识图谱可视化分析	韩涛 朱立国 魏戌 于杰 冯敏山 王尚全 陈明 展嘉文 尹逊路	世界中西医结合杂志	2021-12-28	12	748	HTML阅读      CNKI AI阅读
728	中医药学术期刊论文2016—2020年研究热点分析——基于CiteSpace知识图谱可视化视角	李亮 芦彩梅	山西医药杂志	2021-12-25	3	476	HTML阅读      CNKI AI阅读
729	基于CiteSpace中医药治疗妊娠期恶心呕吐的可视化分析	郭彩霞 王梓炜 杜彩凤 刘宏奇 赵勇	中国中医药现代远程教育	2021-12-25	2	575	HTML阅读      CNKI AI阅读
730	中国实效性随机对照试验研究现状	吕志杰 吴丽 李秋爽 刘姗	中国医院统计	2021-12-25	4	589	HTML阅读      CNKI AI阅读
731	中医药领域子宫内膜异位症研究现状、热点与趋势	李盼盼 曹阳 庄梦斐 谢丹丹 钟雨青 张婷婷	时珍国医国药	2021-12-20	11	1420	HTML阅读      CNKI AI阅读
732	基于CiteSpace的脏腑辨证知识图谱可视化分析	潘赐明 曹蓓苓 季能博 徐寻 韦姗姗 徐宏喜 陈文慧	中国中医急症	2021-12-15	9	845	HTML阅读      CNKI AI阅读
733	《黄帝内经》译介研究现状——基于Citespace的可视化分析	李腾达 叶年华 余静	现代交际	2021-12-15	1	527	HTML阅读      CNKI AI阅读
734	基于CiteSpace的中医药防治脂肪肝病相关文献的可视化分析	潘赐明 姜楠 王翊蓉 季能博 徐寻 杨斯然 孙静 陈文慧	云南中医学院学报	2021-12-15	7	432	HTML阅读      CNKI AI阅读
735	中医舌诊客观化可视化分析	孙璇 王东军 田春颖 关媛媛 田之魁 王泓午	天津中医药	2021-12-12	14	1306	HTML阅读      CNKI AI阅读
736	基于CiteSpace可视化分析中医药领域中风后抑郁症研究热点和趋势	莫雪妮 傅小红 吴多 张月 蓝百鑫 刘姣 刘娜 马威	中国医药导报	2021-12-05	8	939	HTML阅读      CNKI AI阅读
737	基于CiteSpace的中医教育研究热点与趋势可视化分析	张若楠 李享 郑方琳 王天琦 李艺清 侯胜田	中国医药导报	2021-12-05	7	523	HTML阅读      CNKI AI阅读
738	基于CiteSpace糖尿病阴虚证研究的可视化分析	李状 王世东 张华 李佳玥 唐诚 赵博旭 张耀夫 蒋里	中国医药导报	2021-12-05	6	555	HTML阅读      CNKI AI阅读
739	基于CiteSpace的中医药治疗甲状腺结节可视化研究	王璐宇 高天舒	亚太传统医药	2021-12-05	4	877	HTML阅读      CNKI AI阅读
740	基于CiteSpace的中医药论治肥胖2型糖尿病的可视化分析	乔飞飞 王莉 于英华	实用中医内科杂志	2021-12-03 12:27	13	1318	HTML阅读      CNKI AI阅读
741	近20年中医流派研究知识图谱分析	王鑫 黄敏 尹浩 唐晓龙 周轶群 汤海林 谢佳东 骆建平 金庆江	中国中医药信息杂志	2021-12-02 13:37	18	1817	HTML阅读      CNKI AI阅读
742	基于CiteSpace中医防治疫病知识图谱可视化分析	王霜 王国为 杨威	中国中医药图书情报杂志	2021-12-01	7	1153	HTML阅读      CNKI AI阅读
743	基于CiteSpace的近60年玄府学说知识图谱分析	张益生 张君冬 朱彦 杨佳楠 宋坪 李宗友	中国中医药信息杂志	2021-11-30 13:08	12	1348	HTML阅读      CNKI AI阅读
744	基于CiteSpace的我国中医药治疗HPV感染文献可视化分析	冯秋月 郭凌 陈建云	全科护理	2021-11-30	1	530	HTML阅读      CNKI AI阅读
745	基于CiteSpace的正骨手法研究热点和趋势的可视化分析	漆国栋 彭正刚 吴春宝 李涛 刘庆国 漆伟	中医药导报	2021-11-28	5	584	HTML阅读      CNKI AI阅读
746	基于CiteSpace分析我国2011年—2021年中医食疗研究热点及趋势	郝晓蓓 汪旭 薛梦婷 潘娅岚 王庆 鲍黎 徐桂华	护理研究	2021-11-25	24	3425	HTML阅读      CNKI AI阅读
747	基于CiteSpace的肿瘤患者中医护理研究热点及发展趋势分析	肖纯 李文雅 刘娅健 彭晓玲	中国医药导报	2021-11-25	17	863	HTML阅读      CNKI AI阅读
748	中医药治疗前列腺癌的知识图谱分析	郭俊 于文晓 晏斌 赵丰 王浩 高庆和 郭军 郭博达	中国男科学杂志	2021-11-20	6	876	HTML阅读      CNKI AI阅读
749	基于知识图谱中医药诊治良性前列腺增生的可视化分析	温瞿华 赵凡 杨荣超 敖永衡 杨毅坚 黄文杰 张春和	浙江中医药大学学报	2021-11-20	2	545	HTML阅读      CNKI AI阅读
750	基于文献计量的知识图谱在中医药领域中的应用分析	井媛媛 王连心 李敬华 姜俊杰	世界科学技术-中医药现代化	2021-11-19 20:18	25	2212	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
751	基于CiteSpace的中医药治疗子宫内膜异位症知识图谱分析	叶丽妮 王宣尹 邝梓君 裴芳利 曾诚	世界科学技术-中医药现代化	2021-11-19 18:25	19	2420	HTML阅读      CNKI AI阅读
752	基于科学知识图谱的中医药防治急性病毒性呼吸道传染病进展的可视化研究	王福民 胡远樟 金曼 孙思涵 王濛琳 程小恩	世界科学技术-中医药现代化	2021-11-19 18:12	7	2076	HTML阅读      CNKI AI阅读
753	回顾与前瞻：国内生态翻译学研究可视化知识图谱分析(2004-2021)	闫维康	青海师范大学学报(社会科学版)	2021-11-15	7	961	HTML阅读      CNKI AI阅读
754	基于CiteSpace的中医药治疗股骨头坏死相关研究的可视化分析	马柯 张虹	中国医药导报	2021-11-15	3	427	HTML阅读      CNKI AI阅读
755	基于CNKI的近10年中医药治疗缺血性脑卒中研究的可视化分析	陈莹 常静玲 李新龙 刘岩 张晶晶 张学成 代恒恒 商洪才	时珍国医国药	2021-11-10	18	1485	HTML阅读      CNKI AI阅读
756	基于文献计量学的颈椎病动物实验研究的可视化分析	何琴 徐霞 王亚洁 刘晓花 孙圆圆 李亚欣	全科护理	2021-11-10	3	427	HTML阅读      CNKI AI阅读
757	基于CiteSpace的中医药治疗功能性消化不良知识图谱可视化研究	邹孟龙 黄晓燕 陈雅璐 宁芯	时珍国医国药	2021-11-08 15:22	21	2590	HTML阅读      CNKI AI阅读
758	基于CiteSpace的中医药预防深静脉血栓形成临床研究进展知识图谱分析	王颖蕊 刘政 刘国妍 王洪杰	中国医药导报	2021-11-05	4	479	HTML阅读      CNKI AI阅读
759	“健康中国”视域下2006—2020年中医药健康产业发展的研究热点与趋势分析	姜艺佼 张思文 姜庆丹 马月丹 梁旭	中国医药导报	2021-11-05	5	839	HTML阅读      CNKI AI阅读
760	基于Citespace糖尿病舌象研究的文献计量与可视化分析	孙璇 王哲 田春颖 王东军 关媛媛 田之魁 朱青青 周宗慧 王泓午	世界科学技术-中医药现代化	2021-11-04 14:45	7	1442	HTML阅读      CNKI AI阅读
761	基于知识图谱中医药诊治早泄的研究现状与展望	杜冠潮 邓楹君 刘胜京 郭俊 赵丰 王浩 于文晓	中国性科学	2021-10-25	9	563	HTML阅读      CNKI AI阅读
762	我国中医传统功法治疗膝骨性关节炎的研究现状及热点	邹连玉 郑丽维 陈舜 范维英 方晓鸿 饶玉莲	老年医学研究	2021-10-25	9	476	原版阅读      CNKI AI阅读
763	基于Citespace的我国近20年刮痧研究热点及态势的可视化分析	陆金裕 李振东 杨雷 张月娟	护士进修杂志	2021-10-22	4	820	HTML阅读      CNKI AI阅读
764	中医体质知识图谱分析——基于VOSviewer和CiteSpace的计量分析	石燕 何黎 任秋静 刘露 温川飙 孙涛 罗悦	世界科学技术-中医药现代化	2021-10-21 11:50	35	3213	HTML阅读      CNKI AI阅读
765	基于CiteSpace的中医药治疗IgA肾病知识图谱可视化分析	张春辉 吕静 郭建仪 庄晓岩 张忠胜	浙江中医杂志	2021-10-16	5	582	HTML阅读      CNKI AI阅读
766	基于CiteSpace的“肝肾同源”理论研究图谱可视化分析	刘玉莲 刘政 季博	中国医药导报	2021-10-15	7	586	HTML阅读      CNKI AI阅读
767	基于CNKI的中医药治疗便秘知识图谱分析	潘姣 肖文洁 鲍新坤 孙光军 林爱珍 周媛媛	湖北中医杂志	2021-10-10	1	507	HTML阅读      CNKI AI阅读
768	基于CiteSpace的国内中医药治疗不孕症文献计量分析	张炜霖 潘丽贞 王英 陈弦	亚太传统医药	2021-10-05	9	735	HTML阅读      CNKI AI阅读
769	针灸治疗颈源性头痛知识图谱可视化分析	张红 张永臣 贾红玲	中国中医药信息杂志	2021-09-28 12:23	8	1722	HTML阅读      CNKI AI阅读
770	基于CiteSpace的2型糖尿病药食同源食材干预研究的文献计量分析	葛莉 刘祎如 戴燕铃 赵彬彬 赖玉婷 江心泳	福建中医药	2021-09-28	11	771	HTML阅读      CNKI AI阅读
771	基于CiteSpace的中医药治疗水肿的可视化分析	王迪 但文超 何庆勇 林巧	世界中西医结合杂志	2021-09-28	8	795	HTML阅读      CNKI AI阅读
772	中医药治疗肺癌的知识图谱可视化分析	牛潇菲 张畅 李小江	中医学报	2021-09-24	11	1269	HTML阅读      CNKI AI阅读
773	基于CiteSpace的中药溯源研究热点可视化分析	黄宗海 赵姝婷 杨思敏 何黎 刘露 施明毅 温川飙	世界科学技术-中医药现代化	2021-09-23 11:11	10	1213	HTML阅读      CNKI AI阅读
774	基于CiteSpace的柴胡桂枝干姜汤文献计量学分析	陈俊君	实用中医内科杂志	2021-09-20	2	526	HTML阅读      CNKI AI阅读
775	基于CiteSpace可视化分析气虚血瘀证研究热点趋势	万彩云 范婷婷 卢青青 张伟 袁志鹰 谢梦洲 李亮	世界科学技术-中医药现代化	2021-09-17 15:29	14	1461	HTML阅读      CNKI AI阅读
776	基于CiteSpace的我国中医药传播研究现状及热点分析	郑雯琦 吴青 李晶	中华医学图书情报杂志	2021-09-15	11	719	HTML阅读      CNKI AI阅读
