	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1021	天然药物人参皂苷和小檗碱的神经保护作用及机制研究	贾立云	山东大学	硕士	2012	24	1363	原版阅读      CNKI AI阅读
1022	LPK基因在非酒精性脂肪肝中的表观遗传学研究	张玉皓	复旦大学	博士	2012	3	408	原版阅读      CNKI AI阅读
1023	小檗碱对家族性腺瘤性息肉病化学防治的实验研究	曹海龙	天津医科大学	博士	2012	4	233	原版阅读      CNKI AI阅读
1024	色谱质谱联用技术的代谢组学方法用于疾病及药物作用机制的研究	谷艳	沈阳药科大学	博士	2012		1003	原版阅读      CNKI AI阅读
1025	小檗碱治疗糠尿病的肠道作用靶点及分子机制研究	李增强	沈阳药科大学	博士	2012	3	361	原版阅读      CNKI AI阅读
1026	几种小分子对NGF诱导的PC12细胞轴突生长作用的研究	刘莉	西北农林科技大学	博士	2012	5	1152	原版阅读      CNKI AI阅读
1027	黄芩苷、苦参碱、小檗碱对NASH大鼠的治疗作用及对L-FABP的影响与机制研究	艾正琳	北京协和医学院	博士	2012	8	721	原版阅读      CNKI AI阅读
1028	小檗碱抑制Apc(Min/+)小鼠息肉生长的机制研究	张慧	天津医科大学	硕士	2012	1	171	原版阅读      CNKI AI阅读
1029	新型水溶性共轭聚合物的合成与荧光传感研究	何娟	湖南师范大学	硕士	2012	1	116	原版阅读      CNKI AI阅读
1030	黄连厚朴药对中有效成分结构修饰初探	邱志兵	广州中医药大学	硕士	2012	2	311	原版阅读      CNKI AI阅读
1031	小檗碱对胰岛素抵抗HepG2细胞AMPK信号通路及其下游糖脂代谢相关蛋白表达的影响	匡霞	华中科技大学	硕士	2012	4	817	原版阅读      CNKI AI阅读
1032	基于葛根芩连汤主要难溶性有效成分的新型自微乳给药系统吸收机理研究	陈莉	广东药学院	硕士	2012	2	419	原版阅读      CNKI AI阅读
1033	黄连丸提取物对糖尿病大鼠肠道二糖酶活性的影响及其有效成分的含量测定	陈玉霜	湖南师范大学	硕士	2012	6	434	原版阅读      CNKI AI阅读
1034	盐酸小檗碱通过SortaseA和Esp途径影响粪肠球菌生物被膜的初步探讨	卜倩倩	中南大学	硕士	2012	4	434	原版阅读      CNKI AI阅读
1035	黄连及川黄柏抗糖尿病活性部位微量化学成分的研究	董二会	北京协和医学院	硕士	2012	20	771	原版阅读      CNKI AI阅读
1036	肝康胶囊质量标准研究	李辉莹	中南大学	硕士	2012	3	1086	原版阅读      CNKI AI阅读
1037	小檗碱对动脉粥样硬化性肾损伤的保护作用及其相关的机制研究	缪刚刚	南京医科大学	硕士	2012		246	原版阅读      CNKI AI阅读
1038	小檗碱对3T3-L1脂肪细胞炎症因子、脂肪因子和脂肪酸代谢的影响	岳晶晶	天津医科大学	硕士	2012	5	1174	原版阅读      CNKI AI阅读
1039	足宁颗粒的制备及初步药理学研究	郭俊浩	华中科技大学	硕士	2012	9	278	原版阅读      CNKI AI阅读
1040	小檗碱对高糖高脂诱导的NIT-1胰岛β细胞胰岛素分泌和自噬的影响	胡亚耘	华中科技大学	硕士	2012	7	495	原版阅读      CNKI AI阅读
1041	不同载体和前体脂质体对盐酸小檗碱体外释放和大鼠体内吸收的影响	杨平	北京中医药大学	硕士	2012	6	938	原版阅读      CNKI AI阅读
1042	小檗碱与咪康唑协同抗耐药白念珠菌作用及其机制研究	傅子晋	第二军医大学	硕士	2012	13	579	原版阅读      CNKI AI阅读
1043	人大肠癌癌旁组织体外培养平台的建立及小檗碱干预的初步研究	闵飞	广州中医药大学	硕士	2012		152	原版阅读      CNKI AI阅读
1044	高脂饮食及小檗碱对非酒精性脂肪肝病幼鼠生长及胰岛素样生长因子表达的影响	张琼	北京中医药大学	硕士	2012		300	原版阅读      CNKI AI阅读
1045	小檗碱对肠易激综合征大鼠内脏高敏感的影响	唐庆林	第二军医大学	硕士	2012	4	406	原版阅读      CNKI AI阅读
1046	凯乐泡腾片的制备工艺及质量标准研究	卢小凤	广州中医药大学	硕士	2012	17	2379	原版阅读      CNKI AI阅读
1047	小檗碱衍生物的合成与药理活性研究	蔡瞻	第二军医大学	硕士	2012	6	1298	原版阅读      CNKI AI阅读
1048	荧光法测定小檗碱的新方法研究	胡莎	陕西师范大学	硕士	2012	1	376	原版阅读      CNKI AI阅读
1049	黄连总生物碱治疗溃疡性结肠炎及其结肠靶向制剂研究	胡元利	南方医科大学	硕士	2012	2	415	原版阅读      CNKI AI阅读
1050	共振光散射技术在原小檗碱类生物碱分析中的应用研究	李华春	西南大学	硕士	2012		151	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1051	黄连代谢及生理特性对增强UV-B的响应研究	温泉	西南大学	硕士	2012	3	233	原版阅读      CNKI AI阅读
1052	小檗碱对膀胱癌的抑制作用及其机制研究	颜克强	山东大学	博士	2012	21	1839	原版阅读      CNKI AI阅读
1053	黄连化学成分的分离及其降糖活性研究	陈红英	西南大学	博士	2012	84	6201	原版阅读      CNKI AI阅读
1054	在体单向肠灌流与Caco-2细胞模型研究黄连解毒汤主要指标成分及其在复方配伍环境中的肠吸收机理	张燕	南京中医药大学	硕士	2012	19	2131	原版阅读      CNKI AI阅读
1055	化学结构、机体状态与复方环境对中药成分药物动力学的影响——以黄连、黄芩主要指标成分为例	何凤	南京中医药大学	硕士	2012	2	666	原版阅读      CNKI AI阅读
1056	葛根芩连混悬剂制备工艺研究	张明明	南方医科大学	硕士	2012		219	原版阅读      CNKI AI阅读
1057	基于1H-NMR代谢物组学技术的多基源中藏药品种质量评价研究	范刚	成都中医药大学	博士	2012	17	1767	原版阅读      CNKI AI阅读
1058	盐酸小檗碱治疗骨肉瘤的作用及其机制	徐西强	华中科技大学	博士	2012	8	733	原版阅读      CNKI AI阅读
1059	复方中药连萸胃滞留渗透泵控释制剂的设计与评价	方瑜	河北医科大学	博士	2012	7	1117	原版阅读      CNKI AI阅读
1060	盐酸小檗碱对急性脑梗死患者血清IgG水平的影响及临床意义	付伟艳	大连医科大学	硕士	2012	2	72	原版阅读      CNKI AI阅读
1061	盐酸小檗碱对急性脑梗死患者外周血大血小板比率的影响	赵美萍	大连医科大学	硕士	2012	4	82	原版阅读      CNKI AI阅读
1062	盐酸小檗碱与阿托伐他汀钙对急性脑梗死患者糖脂代谢影响的比较	杨成艳	大连医科大学	硕士	2012	1	121	原版阅读      CNKI AI阅读
1063	盐酸小檗碱对急性脑梗死患者血清同型半胱氨酸水平的影响	仲婷婷	大连医科大学	硕士	2012	1	103	原版阅读      CNKI AI阅读
1064	盐酸小檗碱对高脂喂养SD大鼠视黄醇结合蛋白4表达及胰岛素受体底物1磷酸化的影响	白瑞苗	南京医科大学	硕士	2012	1	161	原版阅读      CNKI AI阅读
1065	舒胃消疡胶囊的制备与评价	王通艳	苏州大学	硕士	2012		190	原版阅读      CNKI AI阅读
1066	黄柏饮片及颗粒饮片水煎液小檗碱含量和抗炎作用比较研究	王茜	成都中医药大学	硕士	2012	10	560	原版阅读      CNKI AI阅读
1067	濒危药用植物雅连化学成分分析及其与土壤因子的相关性研究	岳清洪	成都中医药大学	硕士	2012	9	502	原版阅读      CNKI AI阅读
1068	不同剂量小檗碱对大鼠缺血心肌的保护作用	丁世豪	兰州大学	硕士	2012	1	173	原版阅读      CNKI AI阅读
1069	清心安神软胶囊的研制	王姿媛	广州中医药大学	硕士	2012	2	397	原版阅读      CNKI AI阅读
1070	黄丹烧伤膏的药学研究	孔德娟	吉林大学	硕士	2012		389	原版阅读      CNKI AI阅读
1071	双柏喷膜剂药学研究	朱小凤	广州中医药大学	硕士	2012	12	893	原版阅读      CNKI AI阅读
1072	三黄泻心汤汤剂、复方浸膏、单味配方浸膏多指标成分含量、特征图谱比较研究	蒋品	贵阳中医学院	硕士	2012	2	806	原版阅读      CNKI AI阅读
1073	超大孔水凝胶的制备、改性及对盐酸小檗碱的释放性能研究	王娜娜	华侨大学	硕士	2012	1	703	原版阅读      CNKI AI阅读
1074	盐酸小檗碱对大鼠非酒精性脂肪肝的作用及机制探讨	于书雷	河北医科大学	硕士	2012	8	560	原版阅读      CNKI AI阅读
1075	结肠安肠溶片的研究	张叶明	吉林大学	硕士	2012	1	324	原版阅读      CNKI AI阅读
1076	2型糖尿病大鼠脑内Aβ与糖脂代谢指标相关性及小檗碱的干预作用	谭颖	哈尔滨商业大学	硕士	2012		247	原版阅读      CNKI AI阅读
1077	清热通淋颗粒的研究	李慧林	山东中医药大学	硕士	2011		400	原版阅读      CNKI AI阅读
1078	二仙汤抗骨质疏松药理作用及蛋白质组学研究	祝峥	沈阳药科大学	博士	2011	1	95	原版阅读      CNKI AI阅读
1079	小檗碱对前列腺癌的抑制作用及其机制研究	王玉	山东大学	博士	2011	19	1646	原版阅读      CNKI AI阅读
1080	小檗碱对人类风湿关节炎成纤维滑膜细胞周期与凋亡的影响及其机制	王秀花	山东大学	博士	2011	3	760	原版阅读      CNKI AI阅读
1081	不同方案治疗糖代谢异常的非酒精性脂肪肝疗效分析及血清FGF21变化	颜红梅	复旦大学	博士	2011	3	529	原版阅读      CNKI AI阅读
1082	序贯中药凝胶的制备及其对实验性大鼠宫颈柱状上皮异位的病理形态学影响	郑晓玲	浙江大学	硕士	2011	1	394	原版阅读      CNKI AI阅读
1083	产小檗碱内生真菌S-NU-41的代谢调节及深层液体发酵的研究	赵昕	西北大学	硕士	2011	4	177	原版阅读      CNKI AI阅读
1084	壳聚糖—小檗碱复合膜制备及性能研究	唐秋萍	北京化工大学	硕士	2011	2	467	原版阅读      CNKI AI阅读
1085	小檗碱治疗实验性糖尿病心肌病作用和机制研究	董世芬	北京中医药大学	博士	2011	8	2322	原版阅读      CNKI AI阅读
1086	滋肾丸药代动力学及其配伍机制研究	蔡飞	第二军医大学	博士	2011	9	1440	原版阅读      CNKI AI阅读
1087	主要矿质元素对生育前期黄连植株生长发育的影响	周波	华中农业大学	硕士	2011	4	281	原版阅读      CNKI AI阅读
1088	光谱分析技术在多氯联苯分析检测中的应用	张凤菊	山东大学	硕士	2011	2	469	原版阅读      CNKI AI阅读
1089	小檗碱对人食管鳞癌细胞的放射增敏作用及其机制研究	姜海燕	山东大学	硕士	2011	5	262	原版阅读      CNKI AI阅读
1090	新型功能化氧化石墨烯药物载体的合成及其性能研究	汪炜燕	南京师范大学	硕士	2011	10	1884	原版阅读      CNKI AI阅读
1091	黄连解毒汤提取精制工艺及安全性评价	魏婷	西南大学	硕士	2011	5	754	原版阅读      CNKI AI阅读
1092	盐酸小檗碱抑制内毒素血症小肠粘膜环氧化酶-2过表达及机制探讨研究	冯爱文	南京大学	博士	2011	2	319	原版阅读      CNKI AI阅读
1093	儿童急性白血病的实验及临床回顾性研究	熊昊	华中科技大学	博士	2011	2	552	原版阅读      CNKI AI阅读
1094	复方盐酸小檗碱结肠定位片的制备与体内外评价研究	邹海艳	北京中医药大学	博士	2011	6	1077	原版阅读      CNKI AI阅读
1095	小檗碱对肠黏膜屏障中上皮紧密连接作用的研究	顾立立	第二军医大学	博士	2011	22	2016	原版阅读      CNKI AI阅读
1096	交泰丸的药代动力学及其治疗2型糖尿病的代谢组学研究	黄召谊	华中科技大学	博士	2011	19	2006	原版阅读      CNKI AI阅读
1097	岩黄连中小檗碱型生物碱生物合成途径相关基因的研究及藜芦中甾体生物碱的微生物转化	陈柯羽	第二军医大学	博士	2011	11	1543	原版阅读      CNKI AI阅读
1098	黄术健胃片的制备工艺与质量标准研究	陈剑平	广州中医药大学	硕士	2011		212	原版阅读      CNKI AI阅读
1099	盐酸小檗碱抑制脂多糖刺激人颊成纤维细胞PGE2、IL-1β的分泌	王春	重庆医科大学	硕士	2011	1	79	原版阅读      CNKI AI阅读
1100	黄连、枳实药对的配伍研究	林丽丽	辽宁中医药大学	硕士	2011	3	599	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1101	小檗碱对心肌肥厚及纤维化的作用及其机制研究	程阔菊	广东药学院	硕士	2011	5	723	原版阅读      CNKI AI阅读
1102	前列栓工艺及质量标准研究	贾艾玲	长春中医药大学	硕士	2011		290	原版阅读      CNKI AI阅读
1103	两种蒙药指纹图谱研究及有效成分含量的测定	曾一	辽宁师范大学	硕士	2011		170	原版阅读      CNKI AI阅读
1104	复方连萸胶囊的制备工艺及质量标准研究	李旸	华中科技大学	硕士	2011	1	276	原版阅读      CNKI AI阅读
1105	小檗碱对胰岛素抵抗HepG2细胞11β-羟基类固醇脱氢酶1mRNA表达的影响	聂鑫	华中科技大学	硕士	2011	2	264	原版阅读      CNKI AI阅读
1106	小檗碱及其衍生物对2型糖尿病大鼠外周组织PTP1B表达的影响	罗运环	华中科技大学	硕士	2011		209	原版阅读      CNKI AI阅读
1107	交泰丸及小檗碱衍生物对糖脂代谢的调节作用	刘德亮	华中科技大学	硕士	2011	7	236	原版阅读      CNKI AI阅读
1108	小檗碱对结肠炎小鼠模型的内质网应激影响的机制研究	姚安龙	南京大学	硕士	2011	16	392	原版阅读      CNKI AI阅读
1109	盐酸小檗碱对大鼠非酒精性脂肪性肝病的干预作用	李晓翠	南京医科大学	硕士	2011	1	194	原版阅读      CNKI AI阅读
1110	小檗碱对动脉粥样硬化性肾损伤的保护作用及与IKK/NFκB信号途径关系的研究	丁辉	南京医科大学	硕士	2011	1	243	原版阅读      CNKI AI阅读
1111	小檗碱抗血管紧张素Ⅳ诱导的心肌肥大与PPAR-α/NO信号通路关系研究	陈加飞	重庆医科大学	硕士	2011		168	原版阅读      CNKI AI阅读
1112	小檗碱抗Ang Ⅳ诱导的血管平滑肌细胞增殖与PPARα-NO信号通路关系研究	王全华	重庆医科大学	硕士	2011		146	原版阅读      CNKI AI阅读
1113	黄连—吴茱萸药对配伍比较研究	高崇佳	辽宁中医药大学	硕士	2011	8	688	原版阅读      CNKI AI阅读
1114	丹黄凝胶剂的药学研究	陈新民	南京中医药大学	硕士	2011	6	1412	原版阅读      CNKI AI阅读
1115	盐酸小檗碱对G6PD酶缺陷患者红细胞的影响	黎红平	南方医科大学	硕士	2011	1	386	原版阅读      CNKI AI阅读
1116	小檗碱对2型糖尿病大鼠治疗效果与机制的研究	阎文柱	辽宁中医药大学	博士	2011	11	1075	原版阅读      CNKI AI阅读
1117	血管性痴呆大鼠的炎症损伤分子机制及小檗碱的保护作用	孙京华	蚌埠医学院	硕士	2011	2	278	原版阅读      CNKI AI阅读
1118	麻夷鼻炎喷雾剂的临床前研究	李颖春	广东药学院	硕士	2011	3	534	原版阅读      CNKI AI阅读
1119	盐酸小檗碱对急性脑梗死患者血清超氧化物歧化酶及丙二醛水平的影响	刘晓琳	大连医科大学	硕士	2011	4	106	原版阅读      CNKI AI阅读
1120	盐酸小檗碱对急性脑梗死患者血清CRP及补体C3、C4水平的影响	刘敏	大连医科大学	硕士	2011		145	原版阅读      CNKI AI阅读
1121	小檗碱及8－羟基二氢小檗碱在小肠吸收机制的比较研究	张晨宇	华中科技大学	硕士	2011	2	320	原版阅读      CNKI AI阅读
1122	小檗碱对高脂—高盐—果糖餐诱致大鼠胰岛素抵抗—左室肥大的抑制作用及其机制	蔡颖	暨南大学	硕士	2011		127	原版阅读      CNKI AI阅读
1123	黄连厚朴配伍主要化学成分在Caco-2细胞模型中的吸收与转运研究	吴安国	广州中医药大学	硕士	2011	13	1730	原版阅读      CNKI AI阅读
1124	黄连—厚朴“药对”的配伍探索及指导小檗碱—厚朴酚合成的初探	牛志强	广州中医药大学	硕士	2011	3	629	原版阅读      CNKI AI阅读
1125	盐酸小檗碱对大鼠肾小管上皮细胞缺血再灌注损伤的保护作用	张日东	南京医科大学	硕士	2011	2	188	原版阅读      CNKI AI阅读
1126	黄连生品及炮制品质量标准、药代动力学和组织分布研究	刘峰	辽宁中医药大学	硕士	2011	7	996	原版阅读      CNKI AI阅读
1127	小檗碱衍生物设计、合成及生理活性研究	丁阳平	西南大学	博士	2011	7	1482	原版阅读      CNKI AI阅读
1128	9-O-小檗碱糖苷同系物的合成与降糖药理活性	陈竹	西南大学	博士	2011	10	597	原版阅读      CNKI AI阅读
1129	盐酸小檗碱与胆碱酯酶互作的物理化学研究及其抗肿瘤作用效应研究	余昌平	武汉大学	博士	2011	1	145	原版阅读      CNKI AI阅读
1130	黄连羊肝丸质量标准的研究	吴阳	辽宁医学院	硕士	2011	2	176	原版阅读      CNKI AI阅读
1131	盐酸小檗碱对大鼠急慢性心肌缺血的保护作用	白彩艳	吉林大学	硕士	2011	5	334	原版阅读      CNKI AI阅读
1132	降脂类中药复方制剂的质量控制方法与研究	何晓文	河北医科大学	硕士	2011	1	764	原版阅读      CNKI AI阅读
1133	三黄栓的体外溶出度及质量标准研究	范凌云	兰州大学	硕士	2011	6	678	原版阅读      CNKI AI阅读
1134	原小檗碱类生物碱脂肪酸盐的合成及口服吸收	田非非	华东理工大学	硕士	2011	1	400	原版阅读      CNKI AI阅读
1135	芩柏膏主要成分抑制Jurkat T细胞增殖活化的研究	吴珺	北京中医药大学	硕士	2010	9	440	原版阅读      CNKI AI阅读
1136	小檗碱的生物代谢反应及代谢产物活性的研究	李艺	北京协和医学院	博士	2010	24	2621	原版阅读      CNKI AI阅读
1137	盐酸小檗碱防治桃褐腐菌—剂型制备及耐药性研究	刘海席	北京化工大学	硕士	2010	6	322	原版阅读      CNKI AI阅读
1138	小檗碱类似物及N-（2-芳乙基）异喹啉类衍生物的设计、合成及活性研究	汪燕翔	中国协和医科大学	博士	2010	2	759	原版阅读      CNKI AI阅读
1139	菌毒清主要成份测定及其毒性和免疫调节作用的研究	于蓝	甘肃农业大学	硕士	2010	3	170	原版阅读      CNKI AI阅读
1140	葛根芩连注射剂的制备及其质量控制研究	杨乐	四川农业大学	硕士	2010	11	583	原版阅读      CNKI AI阅读
1141	小檗碱对小鼠骨髓来源的树突状细胞的促凋亡作用	焦晴晴	安徽农业大学	硕士	2010	4	250	原版阅读      CNKI AI阅读
1142	家兔高脂血症形成与Insig-2基因关系及小檗碱调控作用研究	金磊	重庆医科大学	硕士	2010		76	原版阅读      CNKI AI阅读
1143	中草药提取物复方对蛋鸡产蛋后期鸡饲喂效果研究	张利娟	河南农业大学	硕士	2010	42	927	原版阅读      CNKI AI阅读
1144	延胡索中原小檗碱型季铵碱药物代谢动力学研究	李开通	中国协和医科大学	硕士	2010	6	992	原版阅读      CNKI AI阅读
1145	功劳木的抗肿瘤作用及其机制研究	李克	河南大学	硕士	2010	2	263	原版阅读      CNKI AI阅读
1146	中药“连黄”各主要成分分离纯化及在大鼠体内药代动力学研究	高威	延边大学	硕士	2010		266	原版阅读      CNKI AI阅读
1147	小檗碱对胰岛β细胞功能的影响及其衍生物抗糖尿病活性的研究	沈宁	北京协和医学院	博士	2010	5	1114	原版阅读      CNKI AI阅读
1148	小檗碱对氧化型低密度脂蛋白诱导的内皮细胞损伤的保护作用	乔宋璇	湖北中医药大学	硕士	2010	2	125	原版阅读      CNKI AI阅读
1149	丹参酮ⅡA和小檗碱诱导大鼠肝星状细胞凋亡及对MMP-1和TIMP-1表达的影响	唐运萍	山西医科大学	硕士	2010	5	208	原版阅读      CNKI AI阅读
1150	小檗碱通过非α2肾上腺素能受体途径抑制内毒素性肠损伤	李红梅	暨南大学	硕士	2010	1	192	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1151	儿童急性白血病的实验、临床及循证医学研究	张耀东	华中科技大学	博士	2010	1	725	原版阅读      CNKI AI阅读
1152	小檗碱与氟康唑协同抗耐药白念珠菌的作用机制研究	许懿	第二军医大学	博士	2010	9	618	原版阅读      CNKI AI阅读
1153	基于微透析与超快速液相色谱技术的唑类抗真菌药物经皮药代动力学研究	孙宁	第二军医大学	博士	2010	7	1098	原版阅读      CNKI AI阅读
1154	葛根芩连汤沉淀物溶出度及盐酸小檗碱、葛根素配伍肠吸收变化的研究	郭友立	南方医科大学	硕士	2010	8	489	原版阅读      CNKI AI阅读
1155	小檗碱、梓醇及其配伍对胰岛素抵抗3T3-L1脂肪细胞抵抗素表达和分泌的影响	刘明	华中科技大学	硕士	2010	3	219	原版阅读      CNKI AI阅读
1156	小檗碱对糖尿病大鼠肝脏11β-羟类固醇脱氢酶1表达的影响	阎劲松	华中科技大学	硕士	2010	1	134	原版阅读      CNKI AI阅读
1157	小檗碱对胰岛素抵抗大鼠内质网应激的影响	赵炎	华中科技大学	硕士	2010	1	223	原版阅读      CNKI AI阅读
1158	小檗碱改善内质网应激减轻胰岛素抵抗的分子机制	邬姗	华中科技大学	硕士	2010	1	249	原版阅读      CNKI AI阅读
1159	小檗碱与梓醇及其配伍对胰岛素抵抗3T3-L1脂肪细胞TNF-α、IL-1β、IL-6分泌及mRNA表达的影响	阴奇男	华中科技大学	硕士	2010	3	430	原版阅读      CNKI AI阅读
1160	黄连抑制LPS诱导的小鼠巨噬细胞MCP-1合成的机制研究	王洪杰	华中科技大学	硕士	2011	2	206	原版阅读      CNKI AI阅读
1161	洁泽1号对阴道上皮细胞与白色念珠菌粘附率及天然免疫因子TLR4和NF-κB表达的影响	向曦	华中科技大学	硕士	2011	4	210	原版阅读      CNKI AI阅读
1162	泻心汤有效组分抗糖尿病肾病的药效学研究	刘媛	复旦大学	硕士	2011	1	455	原版阅读      CNKI AI阅读
1163	盐酸小檗碱对2型糖尿病大鼠血管平滑肌细胞作用的研究	赵萌	泸州医学院	硕士	2010	2	146	原版阅读      CNKI AI阅读
1164	盐酸小檗碱对葡萄糖、氧化型低密度脂蛋白、胰岛素联合诱导人脐静脉内皮细胞损伤的干预作用	张婷	泸州医学院	硕士	2010		136	原版阅读      CNKI AI阅读
1165	小檗碱抗高糖高胰岛素诱导心肌肥大与PPARα-NO信号通路关系研究	王明丰	重庆医科大学	硕士	2010	3	214	原版阅读      CNKI AI阅读
1166	黄柏炮制原理及质量标准研究	祁东利	辽宁中医药大学	硕士	2010	21	1362	原版阅读      CNKI AI阅读
1167	动脉粥样硬化与Insig-2基因的关系及小檗碱的干预作用研究	何琦	重庆医科大学	硕士	2010		106	原版阅读      CNKI AI阅读
1168	复方牛至油口服乳剂的研制	汤法银	河南农业大学	硕士	2010	10	656	原版阅读      CNKI AI阅读
1169	黄连叶片与须根中小檗碱的提取纯化研究	刘婷	西北农林科技大学	硕士	2010	8	949	原版阅读      CNKI AI阅读
1170	复方盐酸小檗碱脂质体的制备与质量研究	王振华	北京中医药大学	硕士	2010	13	1179	原版阅读      CNKI AI阅读
1171	四种中草药有效成分的提取及抑菌试验	路强	内蒙古农业大学	硕士	2010	9	1235	原版阅读      CNKI AI阅读
1172	黄芩—黄连药对药代动力学及相互作用研究	冯瑾	第二军医大学	硕士	2010	37	1882	原版阅读      CNKI AI阅读
1173	小檗碱对大鼠体内葛根素药动学的影响	吴恒	安徽医科大学	硕士	2010	1	474	原版阅读      CNKI AI阅读
1174	人参皂苷Rb1与小檗碱对脂肪细胞炎症因子表达和分泌的作用及其分子机制的比较研究	刘佳	南京中医药大学	硕士	2010	5	564	原版阅读      CNKI AI阅读
1175	葫芦脲的荧光探针研究及其在药物分析上的应用	郭玉华	山西师范大学	硕士	2010	1	397	原版阅读      CNKI AI阅读
1176	盐酸小檗碱对高脂饮食诱导的SD大鼠非酒精性脂肪肝的疗效及机制研究	常薪霞	复旦大学	博士	2010	13	1510	原版阅读      CNKI AI阅读
1177	基于3T3-L1脂肪细胞的盐酸小檗碱结构修饰物体外改善胰岛素抵抗的活性成分筛选研究	唐光曦	成都中医药大学	硕士	2010		231	原版阅读      CNKI AI阅读
1178	几种胺类化合物的毛细管电泳—电化学发光检测方法的研究	王敏	陕西师范大学	硕士	2010	1	348	原版阅读      CNKI AI阅读
1179	芒果苷与盐酸小檗碱的药代动力学研究	胡丽娜	长春中医药大学	硕士	2010	2	789	原版阅读      CNKI AI阅读
1180	鼻衄止血凝胶的研制开发	熊峰	长春中医药大学	硕士	2010	3	569	原版阅读      CNKI AI阅读
1181	小檗碱联合阿托伐他汀对急性脑梗死二级预防初步研究	周国庆	暨南大学	硕士	2010		207	原版阅读      CNKI AI阅读
1182	盐酸小檗碱对大鼠心肌缺血再灌注损伤的保护作用	宋艳芳	吉林大学	硕士	2010	10	503	原版阅读      CNKI AI阅读
1183	香莲栓剂的研制及其质量标准的研究	郑少文	广州中医药大学	硕士	2010	6	858	原版阅读      CNKI AI阅读
1184	温中清肠胶囊制备工艺与其质量标准研究	李少华	广州中医药大学	硕士	2010		517	原版阅读      CNKI AI阅读
1185	4种中药提取物体外抗白色念珠菌的敏感性研究	王彩瑞	大连医科大学	硕士	2010	8	819	原版阅读      CNKI AI阅读
1186	小檗碱和小檗红碱13位衍生物的合成及抗菌活性研究	邵凯	长春工业大学	硕士	2010	6	679	原版阅读      CNKI AI阅读
1187	黄癸素（α-羟基-δ-癸酰乙基磺酸小檗碱）的抗肿瘤效应及其诱导细胞凋亡等作用的研究	彭华毅	福建医科大学	硕士	2010		166	原版阅读      CNKI AI阅读
1188	金鸡泡腾颗粒的研究	万华根	华东理工大学	硕士	2010	2	613	原版阅读      CNKI AI阅读
1189	小檗碱对儿童肿瘤细胞凋亡影响的实验研究	张小玲	华中科技大学	博士	2010	3	310	原版阅读      CNKI AI阅读
1190	盐酸小檗碱对体外培养人牙周膜细胞分泌白细胞介素-6的影响	张帆	兰州大学	硕士	2010		73	原版阅读      CNKI AI阅读
1191	盐酸小檗碱缓释动物注射剂的研制	张国雨	青岛科技大学	硕士	2009	4	785	原版阅读      CNKI AI阅读
1192	调节SIRT1去乙酰化酶的药物影响脂类代谢及衰老的机制研究	朱小飞	中国协和医科大学	博士	2009	5	1246	原版阅读      CNKI AI阅读
1193	黄连素对CA诱导的tau蛋白过度磷酸化的保护作用及其机制	余光	华中科技大学	硕士	2009	4	320	原版阅读      CNKI AI阅读
1194	芦荟苷与传统促渗剂对盐酸小檗碱经皮促渗的实验研究	林娇玉	山西大学	硕士	2009	2	317	原版阅读      CNKI AI阅读
1195	盐酸小檗碱包被颗粒的制备及药理学研究	高海鹏	武汉工业学院	硕士	2009	1	532	原版阅读      CNKI AI阅读
1196	鞣酸小檗碱结肠定位包衣片的制备及体外释放度考察	李雪	广东药学院	硕士	2009	3	626	原版阅读      CNKI AI阅读
1197	产小檗碱内生真菌的诱变及发酵条件的优化	高杨	西北大学	硕士	2009	4	269	原版阅读      CNKI AI阅读
1198	盐酸小檗碱生物可降解缓释体系的制备和性能研究	江宇良	厦门大学	硕士	2009		352	原版阅读      CNKI AI阅读
1199	黄连解毒汤三种生物碱在糖尿病大鼠体内的药代动力学研究	吴晓霞	中国中医科学院	硕士	2009	9	1424	原版阅读      CNKI AI阅读
1200	乌金胶囊质量标准的建立及其药效学的研究	吴英华	黑龙江大学	硕士	2009	2	307	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1201	小檗碱和甲基莲心碱对人成骨肉瘤细胞的生长抑制作用及其机制研究	刘招舰	山东大学	博士	2009	6	620	原版阅读      CNKI AI阅读
1202	RUNX3对胃癌细胞凋亡相关基因及小檗碱对胃癌细胞增殖的影响	张春艳	山东大学	硕士	2009	4	124	原版阅读      CNKI AI阅读
1203	银纳米粒子与核酸分子相互作用的研究及其分析应用	周海平	山东大学	硕士	2009		432	原版阅读      CNKI AI阅读
1204	小檗碱抑制去甲肾上腺素诱导的心肌细胞凋亡的机制研究	吕秀秀	暨南大学	硕士	2009	3	258	原版阅读      CNKI AI阅读
1205	小檗碱衍生物上调低密度脂蛋白受体表达的构效关系及高生物利用度的新一代小檗碱研究	李迎红	中国协和医科大学	博士	2009	2	690	原版阅读      CNKI AI阅读
